Date,Id,Nominal,Value,VunitRate
04.11.2022,R01820,100,"42,0872","0,420872"
08.11.2022,R01820,100,"41,6520","0,41652"
09.11.2022,R01820,100,"41,6228","0,416228"
10.11.2022,R01820,100,"41,9030","0,41903"
11.11.2022,R01820,100,"41,8529","0,418529"
12.11.2022,R01820,100,"42,2730","0,42273"
15.11.2022,R01820,100,"43,2652","0,432652"
16.11.2022,R01820,100,"42,9631","0,429631"
17.11.2022,R01820,100,"43,2512","0,432512"
18.11.2022,R01820,100,"43,3085","0,433085"
19.11.2022,R01820,100,"43,0567","0,430567"
22.11.2022,R01820,100,"43,2945","0,432945"
23.11.2022,R01820,100,"42,7009","0,427009"
24.11.2022,R01820,100,"42,5937","0,425937"
25.11.2022,R01820,100,"43,4592","0,434592"
26.11.2022,R01820,100,"43,5012","0,435012"
29.11.2022,R01820,100,"43,6876","0,436876"
30.11.2022,R01820,100,"43,9857","0,439857"
01.12.2022,R01820,100,"43,8619","0,438619"
02.12.2022,R01820,100,"44,8792","0,448792"
03.12.2022,R01820,100,"45,5903","0,455903"
06.12.2022,R01820,100,"46,1723","0,461723"
07.12.2022,R01820,100,"46,0881","0,460881"
08.12.2022,R01820,100,"45,8492","0,458492"
09.12.2022,R01820,100,"45,8169","0,458169"
10.12.2022,R01820,100,"45,5737","0,455737"
13.12.2022,R01820,100,"45,8927","0,458927"
14.12.2022,R01820,100,"45,8723","0,458723"
15.12.2022,R01820,100,"46,7491","0,467491"
16.12.2022,R01820,100,"47,5006","0,475006"
17.12.2022,R01820,100,"46,9431","0,469431"
20.12.2022,R01820,100,"48,7275","0,487275"
21.12.2022,R01820,100,"51,8396","0,518396"
22.12.2022,R01820,100,"53,5380","0,53538"
23.12.2022,R01820,100,"54,7356","0,547356"
24.12.2022,R01820,100,"51,7723","0,517723"
27.12.2022,R01820,100,"51,6594","0,516594"
28.12.2022,R01820,100,"52,5113","0,525113"
29.12.2022,R01820,100,"53,2682","0,532682"
30.12.2022,R01820,100,"53,7028","0,537028"
31.12.2022,R01820,100,"53,0609","0,530609"
10.01.2023,R01820,100,"52,6042","0,526042"
11.01.2023,R01820,100,"52,8144","0,528144"
12.01.2023,R01820,100,"52,1458","0,521458"
13.01.2023,R01820,100,"51,3855","0,513855"
14.01.2023,R01820,100,"52,2900","0,5229"
17.01.2023,R01820,100,"53,4972","0,534972"
18.01.2023,R01820,100,"53,3481","0,533481"
19.01.2023,R01820,100,"53,4561","0,534561"
20.01.2023,R01820,100,"53,6189","0,536189"
21.01.2023,R01820,100,"53,3740","0,53374"
24.01.2023,R01820,100,"53,0813","0,530813"
25.01.2023,R01820,100,"52,7408","0,527408"
26.01.2023,R01820,100,"52,9016","0,529016"
27.01.2023,R01820,100,"53,5075","0,535075"
28.01.2023,R01820,100,"53,3363","0,533363"
